,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
11800,660334989528226659,https://www.airbnb.com/rooms/660334989528226659,20250319150644,2025-03-21,city scrape,Hermoso departamento con excelente ubicación,"Our apartment in Lomas de Sotelo is in a very quiet and safe area. It has an excellent location very close to Polanco, Antara, Plaza Carso, Campo Militar, Plaza Toreo, Citibanamex center, among others. Relax, rest or work, but feel at home in a comfortable, clean and light-filled environment.","Our apartment in Lomas de Sotelo is in a very quiet and safe area. It has an excellent location very close to Polanco, Antara, Plaza Carso, Campo Militar, Plaza Toreo, among others. Relax, rest or work, but feel at home in a comfortable, clean and light-filled environment.",https://a0.muscache.com/pictures/miso/Hosting-660334989528226659/original/5eab0e63-fbb1-4e9c-abb6-3bedbf8f82c7.jpeg,295011864,https://www.airbnb.com/users/show/295011864,Griselda,2019-09-14,"Mexico City, Mexico","Hola, soy Griss y espero poder aprender muy rápido en esta nueva aventura de ser anfitrión para ofrecerte la mejor estancia posible a la que tu te mereces. Nos vemos pronto....!!!",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User/original/db24c919-82e3-4671-a39a-f7f9855c5b49.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/db24c919-82e3-4671-a39a-f7f9855c5b49.jpeg?aki_policy=profile_x_medium,,1.0,1.0,['phone'],t,t,"Mexico City, Ciudad de México, Mexico",Miguel Hidalgo,,19.448143771808777,-99.21622745179572,Entire condo,Entire home/apt,4,1.0,1 bath,2.0,3.0,"[""Wine glasses"", ""Hair dryer"", ""Hangers"", ""Whirlpool refrigerator"", ""Microwave"", ""Cooking basics"", ""Free parking on premises"", ""Pets allowed"", ""WINIA stainless steel oven"", ""Protex body soap"", ""Extra pillows and blankets"", ""Self check-in"", ""Smoke alarm"", ""Wifi"", ""Coffee"", ""Lockbox"", ""43 inch HDTV with Amazon Prime Video, Netflix, Roku"", ""Kitchen"", ""Hot water"", ""Books and reading material"", ""Iron"", ""Dining table"", ""Clothing storage: closet"", ""Cleaning products"", ""Free street parking"", ""Board games"", ""Hot water kettle"", ""Acros stainless steel stove"", ""Shampoo"", ""Freezer"", ""Dedicated workspace"", ""Laundromat nearby"", ""Blender"", ""Drying rack for clothing"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Essentials"", ""Bed linens"", ""Shared backyard"", ""First aid kit"", ""Private entrance""]",$849.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,8,27,53,304,2025-03-21,187,54,4,225,62,255,216495.0,2022-08-03,2025-03-03,4.88,4.87,4.83,4.88,4.89,4.87,4.81,,f,1,1,0,0,5.83
12000,674112808583668105,https://www.airbnb.com/rooms/674112808583668105,20250319150644,2025-03-20,city scrape,Fungi Casa Rosa - Cama Queen Tamayo,"The ""Tamayo"" room is shared, with shared bathrooms outside the room. You can review other rooms directly on my profile.<br /><br />Hostal Fungi Casa Rosa in La Condesa, Mexico City's trendiest colony near bars, restaurants, and museums.<br /><br />The hostel is made up of shared, private, mixed rooms, and an exclusive room for girls.<br /><br />Fungi is a community of digital nomads, so we have workspaces and 100 MBPS internet.","La Condesa is Mexico City's most Trendy colony.<br />The best restaurants, bars, people, museums, shops and parks are here. <br /><br />This area has an Art-Deco architecture, as it was a racetrack of Spanish royalty during the seventeenth century.<br />Come so you can get to know the whole story with our cultural and culinary tours.",https://a0.muscache.com/pictures/miso/Hosting-674112808583668105/original/5783c85b-8a9f-4260-ae44-c3bac98705ef.jpeg,451100987,https://www.airbnb.com/users/show/451100987,Rebeca,2022-03-24,"Mexico City, Mexico","Amo tanto viajar que decidí dedicarme a la hospitalidad y hotelería. Soy una persona alegre, detallista y amante de la naturaleza y los animales. Ser host me llena de felicidad y me encanta conocer viajeros y oír sus aventuras por el mundo. 
Haré todo lo posible para que tu estancia conmigo sea maravillosa.",within an hour,93%,100%,f,https://a0.muscache.com/im/pictures/user/User-451100987/original/0b92d138-8603-49f4-a6a1-379b143d5424.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-451100987/original/0b92d138-8603-49f4-a6a1-379b143d5424.jpeg?aki_policy=profile_x_medium,,13.0,17.0,"['email', 'phone']",t,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,,19.41416,-99.17683,Shared room in bed and breakfast,Shared room,2,2.5,2.5 shared baths,1.0,1.0,"[""Hair dryer"", ""Cooking basics"", ""Microwave"", ""Extra pillows and blankets"", ""Self check-in"", ""Smoke alarm"", ""Wifi"", ""Clothing storage"", ""Toaster"", ""Coffee"", ""Fire extinguisher"", ""Kitchen"", ""Cleaning available during stay"", ""Outdoor furniture"", ""Shared patio or balcony"", ""Breakfast"", ""Luggage dropoff allowed"", ""Hot water"", ""Books and reading material"", ""Indoor fireplace"", ""Iron"", ""Room-darkening shades"", ""Dining table"", ""Building staff"", ""Cleaning products"", ""Body soap"", ""Board games"", ""Safe"", ""Sound system"", ""Shampoo"", ""Stove"", ""Refrigerator"", ""Freezer"", ""Dedicated workspace"", ""Laundromat nearby"", ""Exterior security cameras on property"", ""Shared backyard \u2013 Fully fenced"", ""Blender"", ""Oven"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Essentials"", ""Bed linens"", ""Portable fans"", ""Smoking allowed"", ""First aid kit"", ""Outdoor kitchen""]",$698.00,1,365,1,1,1125,1125,1.0,1125.0,,t,18,48,78,327,2025-03-20,19,2,0,275,7,12,8376.0,2022-07-31,2024-11-26,4.95,4.95,4.95,4.95,5.0,5.0,5.0,,t,11,0,2,9,0.59
12200,680668845335186149,https://www.airbnb.com/rooms/680668845335186149,20250319150644,2025-03-21,city scrape,Nearby Tlatelolco subway station,"Accommodation very well located<br />It is a private room in a shared apartment with 3 bedrooms, located three stations from the Historic Center, the Alameda Central and the Paseo de La Reforma, next to Insurgentes Avenue. Close to all kinds of commercial establishments, and recreation spaces, such as the Forum Buenavista, the Archaeological Zone of Tlatelolco. It is an ideal space for rest or work online because we have internet of 40 megs","the colony is located 9 minutes from the Historic Center, there are museums, restaurants with excellent food, good atmosphere and decoration, also 5 minutes from the Paseo de La Reforma one of the main avenues of the city, and in the same way you can enjoy the best restaurants, galleries, records, museums, cinemas, exhibitions, shows, parks etc.",https://a0.muscache.com/pictures/c8f1e823-cec3-42ec-b50f-bf89784cdf4b.jpg,340585478,https://www.airbnb.com/users/show/340585478,Lisandro,2020-03-07,"Mexico City, Mexico","Ingeniero Emprendedor, con vocación a servicio, Musico Guitarrista y Percusionista, bilingüe. me agradan los intercambios culturales que enriquecen y que permiten conocer personas de distintas latitudes",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/02a635ab-6761-4fb9-8a43-ca5fc36ee07c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/02a635ab-6761-4fb9-8a43-ca5fc36ee07c.jpg?aki_policy=profile_x_medium,Lagunilla,9.0,19.0,"['email', 'phone', 'work_email']",t,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,,19.45311,-99.14288,Private room,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Teka stainless steel gas stove"", ""Free washer \u2013 In unit"", ""Hangers"", ""Cooking basics"", ""Microwave"", ""Shared backyard \u2013 Not fully fenced"", ""Extra pillows and blankets"", ""Courtyard view"", ""Paid parking lot off premises"", ""Smoke alarm"", ""Dishwasher"", ""Elevator"", ""Wifi \u2013 46 Mbps"", ""Lock on bedroom door"", ""Kitchen"", ""Outdoor furniture"", ""Luggage dropoff allowed"", ""Hot water"", ""Iron"", ""Room-darkening shades"", ""Dining table"", ""Garden view"", ""Clothing storage: closet"", ""Park view"", ""Cleaning products"", ""Free street parking"", ""Private living room"", ""Body soap"", ""Free dryer \u2013 In unit"", ""Shampoo"", ""Refrigerator"", ""Dedicated workspace"", ""Laundromat nearby"", ""Blender"", ""Coffee maker"", ""Drying rack for clothing"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Essentials"", ""Single level home""]",$389.00,1,1125,2,3,1125,1125,2.1,1125.0,,t,17,47,77,352,2025-03-21,26,8,0,273,11,48,18672.0,2022-08-01,2025-02-09,4.85,4.85,4.69,4.81,4.92,4.96,4.96,,t,6,1,5,0,0.81
12400,693334938251279777,https://www.airbnb.com/rooms/693334938251279777,20250319150644,2025-03-20,previous scrape,Bright 1 BDR near parks Metro B & pet friendly :),"We Keep it simple at this peaceful & centrally-located place. Near parque hundido, with Coffee shops, markets and Metro/bus lines that will get you basically anywhere in 20/30 minutes. My BF & I are looking for a longer term roomie since we travel often. The apt is 3 BDRs & 2 full bathrooms, so it’s quite spacious actually. We are friendly and easy going people, communication is key. Panchito is part of our family (winner dog ) & Tere comes 1 a week to clean.. any other questions just ask :)",,https://a0.muscache.com/pictures/miso/Hosting-693334938251279777/original/f035c22e-a10b-44ba-91d1-832238fdc5bc.jpeg,43507841,https://www.airbnb.com/users/show/43507841,Lors,2015-09-06,"Mexico City, Mexico","Joyfull, life rocks & making the best out of it jeje. I adore animals therefor my 2 winners (Pitus & Pancho). Love green, vegetarian, nature, knitting, running, biking, basically any outdoors ... Lets GO!. and yes yes of curse to travel :). Hospitality my profession (by paper) but most importantly by heart. Share love & be free. Namaste .. 

Ps: Hopefully we’ll get to talk more. ",,,,f,https://a0.muscache.com/im/pictures/user/6488a0f3-9efa-4409-a7fa-6f27fbf62a15.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/6488a0f3-9efa-4409-a7fa-6f27fbf62a15.jpg?aki_policy=profile_x_medium,,2.0,8.0,"['email', 'phone']",t,t,,Benito Juárez,,19.37806,-99.17529,Private room in rental unit,Private room,2,,2 shared baths,,,"[""Hangers"", ""Cooking basics"", ""Pets allowed"", ""55 inch TV with Netflix"", ""Gas stove"", ""Extra pillows and blankets"", ""Wifi"", ""Bikes"", ""Elevator"", ""Stainless steel oven"", ""Kitchen"", ""Cleaning available during stay"", ""Shared patio or balcony"", ""Luggage dropoff allowed"", ""Hot water"", ""Books and reading material"", ""Iron"", ""Room-darkening shades"", ""Dining table"", ""Clothing storage: closet"", ""Cleaning products"", ""Free street parking"", ""Body soap"", ""Board games"", ""Ethernet connection"", ""City skyline view"", ""Shampoo"", ""Shower gel"", ""Refrigerator"", ""Freezer"", ""Coffee maker: drip coffee maker"", ""Dedicated workspace"", ""Laundromat nearby"", ""Blender"", ""Long term stays allowed"", ""Dishes and silverware"", ""Essentials"", ""Bed linens"", ""First aid kit""]",,3,62,3,3,62,62,3.0,62.0,,t,0,0,0,0,2025-03-20,0,0,0,0,0,0,,,,,,,,,,,,f,1,0,1,0,
12600,706662426248147266,https://www.airbnb.com/rooms/706662426248147266,20250319150644,2025-03-21,city scrape,Bonita habitación con baño privado en departamento,"The room is small, but very cozy and comfortable. It has a private bathroom, integrated inside the room.  The apartment is located in a safe, quiet area, and very well connected to all directions of the city. Close to the house you have a large park, shops, and good cafes and restaurants. It is ideal for hosting one person, and very appropriate for long stays (only one extra guest will be allowed for short stays, prior notice and extra fee).","It is a safe, traditional and beautiful neighborhood, with low houses of one or two floors, and some buildings. There are many shops such as fruit shop, bakery, tortilleria, grocery store, and supermarkets. It is also very well connected to all directions of the city. Next door you have a very traditional park of Mexico City where you can walk, run, bike, or even skate (it has a great track).",https://a0.muscache.com/pictures/airflow/Hosting-706662426248147266/original/742d57dc-9949-4572-a1f8-f1ab1790e879.jpg,337080053,https://www.airbnb.com/users/show/337080053,Soledad,2020-02-18,"Mexico City, Mexico","Nací en Barcelona y vivo en México desde 1994. Me dedico a la música y la docencia. Estaré encantada de recibirte en mi casa, donde espero que te sientas tan a gusto como me siento yo.",within an hour,100%,98%,t,https://a0.muscache.com/im/pictures/user/User-337080053/original/324aba46-ff53-4afd-9c8d-67b19d78dd94.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-337080053/original/324aba46-ff53-4afd-9c8d-67b19d78dd94.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,t,"Alcaldía Benito Juárez, Ciudad de México, Ciudad de México, Mexico",Benito Juárez,,19.374008,-99.155193,Private room in condo,Private room,1,1.0,1 private bath,1.0,1.0,"[""Portable heater"", ""Hair dryer"", ""Hangers"", ""Microwave"", ""Cooking basics"", ""Extra pillows and blankets"", ""Host greets you"", ""Smoke alarm"", ""Wifi"", ""Paid washer \u2013 In unit"", ""Coffee"", ""Kitchen"", ""Shared patio or balcony"", ""Free residential garage on premises \u2013 1 space"", ""Hot water"", ""Iron"", ""Park view"", ""Cleaning products"", ""Free street parking"", ""Coffee maker: drip coffee maker, espresso machine"", ""Refrigerator"", ""Freezer"", ""Dedicated workspace"", ""Blender"", ""Drying rack for clothing"", ""Bosch stainless steel gas stove"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Essentials"", ""Portable fans"", ""First aid kit""]",$437.00,3,100,3,3,1125,1125,3.0,1125.0,,t,4,4,22,297,2025-03-21,63,25,4,218,28,150,65550.0,2022-09-06,2025-03-18,4.98,4.95,4.98,4.98,4.98,4.95,4.97,,t,1,0,1,0,2.04
12800,723731040589753552,https://www.airbnb.com/rooms/723731040589753552,20250319150644,2025-03-20,city scrape,Modern apartment w/KingSize bed steps from Condesa,"Enjoy the simplicity of this modern quiet and central studio.<br /><br />✔ King Size Bed<br />✔ Quiet residential area<br />✔ Steps from Condesa and Rome<br />✔ Washer and Dryer<br /><br />You will be located in Escandón, a favorite neighborhood for locals and Airbnb travelers for its tranquility and proximity to the best areas of Mexico City such as Condesa and Roma.","Crossing the street you will be in the Condesa neighborhood, the favorite of Airbnb travelers, and well known for the large number of cafes, bookstores, restaurants, galleries and boutiques, as well as for its cultural and nightlife. La Condesa shares its border and bohemian spirit with Colonia Roma, and together they form the so-called Roma Condesa Cultural Corridor.<br /><br />It is part of the most developed axis of the capital of Mexico and the metropolitan area and is located near the Chapultepec forest, Parque México, Parque España, Reforma and Insurgentes.<br />The Condesa neighborhood is preferred by travelers on Airbnb, and is well known for its large number of cafes, bookstores, restaurants, galleries, and boutiques, as well as its cultural and nightlife. La Condesa shares its border and bohemian spirit with Colonia Roma, and together they form the so-called Roma Condesa Cultural Corridor.<br /><br />It is part of the most developed axis of the capital of Mexico and the metro",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6NzIzNzMxMDQwNTg5NzUzNTUy/original/75e74d15-c51c-4cba-81ff-b37fcae0e0d0.jpeg,333035396,https://www.airbnb.com/users/show/333035396,Clau,2020-02-02,"Mexico City, Mexico","Soy una anfitriona profesional, y estoy comprometida a ofrecer a mis huéspedes una experiencia excepcional durante su estancia. 

Como viajera frecuente, sé lo importante que es sentirse bienvenido y cómodo en un lugar nuevo, y por eso me esfuerzo por brindar el mismo nivel de servicio que yo misma espero cuando viajo. 

¡Espero tener la oportunidad de alojarlos pronto!",,,100%,f,https://a0.muscache.com/im/pictures/user/987ff280-b738-4912-b6f0-3dd5b290188d.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/987ff280-b738-4912-b6f0-3dd5b290188d.jpg?aki_policy=profile_x_medium,,175.0,203.0,"['email', 'phone']",t,t,"Mexico City, Ciudad de México, Mexico",Miguel Hidalgo,,19.40309,-99.17268,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"[""Wine glasses"", ""Free washer \u2013 In unit"", ""Hair dryer"", ""Cooking basics"", ""Microwave"", ""Free parking on premises"", ""Courtyard view"", ""Self check-in"", ""Smoke alarm"", ""Wifi"", ""Clothing storage"", ""Lockbox"", ""Kitchen"", ""Hot water"", ""42 inch HDTV with Netflix"", ""Iron"", ""Room-darkening shades"", ""Cleaning products"", ""Free street parking"", ""Free dryer \u2013 In unit"", ""Ethernet connection"", ""Hot water kettle"", ""Shampoo"", ""Shower gel"", ""Refrigerator"", ""Freezer"", ""Laundromat nearby"", ""Paid parking garage off premises"", ""Oven"", ""Coffee maker"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Essentials"", ""Bed linens""]","$1,186.00",1,365,1,1,1125,1125,1.0,1125.0,,t,21,51,81,355,2025-03-20,163,59,4,278,65,255,302430.0,2022-09-30,2025-03-09,4.6,4.69,4.69,4.78,4.57,4.84,4.55,,t,151,150,1,0,5.42
13000,734685405682946160,https://www.airbnb.com/rooms/734685405682946160,20250319150644,2025-03-20,city scrape,LĪMBŌ Apt Boutique -Design -Location -Comfort,"Welcome to our fabulous fully equipped  apartment in the heart of Condesa! This great-located, spacious, bright, cozy, thoughtfully curated and designed apartment, is the perfect place for your stay in Mexico City. With its comfortable amenities, including a fully equipped kitchen, freshener aroma spa bath toiletries, and surreal beds / quality linens, you'll feel better than home. You'll love coming back to this retreat after a day of exploring the city.","Known for its central location, making it easy to access the most visited tourist hotspots. From here, you'll have quick and convenient access to popular destinations such as Parque México, Parque España, Roma trendy neighborhood, Bosque de Chapultepec (Chapultepec Castle, Lagos de Chapultepec, Museo de Antropología, historic monuments)  ,Estela de luz, Angel de la Independencia, Diana Cazadora and important avenues like Reforma, Insurgentes, Av. Chapultepec, which takes you to Centro Historico (Downtown), also must visiting Museums, such as Tamayo, Sumaya. Whether you're interested in exploring historical landmarks, art galleries, or enjoying the vibrant nightlife, everything is within reach. <br /><br />This neighborhood is renowned for its eclectic mix of cafes, restaurants, bars, and boutique shops, providing endless opportunities for culinary adventures and unique shopping experiences. Immerse yourself in the local culture, indulge in delicious cuisine, or simply relax in one of t",https://a0.muscache.com/pictures/miso/Hosting-710938117580875001/original/c1ad3675-5c96-4647-b41e-e30f5b8d78a6.jpeg,529118974,https://www.airbnb.com/users/show/529118974,Miguel Angel,2023-07-31,,,within a day,100%,0%,t,https://a0.muscache.com/im/pictures/user/User/original/653ea2ae-1664-4bdd-a201-7d6fd777b9af.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/653ea2ae-1664-4bdd-a201-7d6fd777b9af.jpeg?aki_policy=profile_x_medium,Chapultepec Morales,66.0,68.0,"['email', 'phone']",t,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,,19.4115534,-99.1682978,Entire rental unit,Entire home/apt,16,3.5,3.5 baths,4.0,7.0,"[""Wine glasses"", ""Portable heater"", ""Free washer \u2013 In unit"", ""Hair dryer"", ""Hangers"", ""Microwave"", ""Cooking basics"", ""Free parking on premises"", ""Rice maker"", ""Paid parking off premises"", ""Laguna Cyprien body soap"", ""Extra pillows and blankets"", ""Self check-in"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Stainless steel oven"", ""Pack \u2019n play/Travel crib - available upon request"", ""Toaster"", ""Coffee"", ""Lockbox"", ""Kitchen"", ""55 inch HDTV with Netflix"", ""Luggage dropoff allowed"", ""Hot water"", ""Babysitter recommendations"", ""Iron"", ""Room-darkening shades"", ""Dining table"", ""Clothing storage: closet"", ""Free dryer \u2013 In unit"", ""Ethernet connection"", ""Hot water kettle"", ""Shower gel"", ""Crib - available upon request"", ""Refrigerator"", ""Freezer"", ""Dedicated workspace"", ""Laundromat nearby"", ""Exterior security cameras on property"", ""Stainless steel gas stove"", ""Changing table"", ""Blender"", ""Coffee maker"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Essentials"", ""Bed linens"", ""Portable fans"", ""Laguna Cyprien shampoo"", ""Laguna Cyprien conditioner"", ""First aid kit"", ""Single level home""]","$10,110.00",3,365,1,4,365,365,3.1,365.0,,t,9,22,48,310,2025-03-20,125,56,4,232,57,255,2578050.0,2022-10-24,2025-03-02,4.97,4.91,4.94,4.96,4.97,5.0,4.87,,f,60,60,0,0,4.27
13200,746958740462036739,https://www.airbnb.com/rooms/746958740462036739,20250319150644,2025-03-20,city scrape,All roads lead to Roma (Mexico City),"Colonia Roma is one of Mexico City’s most famous and popular areas. The hub of the city’s quirky subculture, with restaurants, bars and museums to match, there are a plethora of things to see and do in this Cuauhtémoc borough neighborhood. Technically divided into two separate colonias – Roma Norte and Roma Sur – it was designated a Barrio Mágico in 2011 and plays host to many art deco mansions.<br /><br />The place had 170 mt2, security 24 hours, two parking spots",,https://a0.muscache.com/pictures/miso/Hosting-746958740462036739/original/76e63b96-a048-4d1e-8b01-2c6ffbc2821c.jpeg,63307033,https://www.airbnb.com/users/show/63307033,Andres,2016-03-17,Mexico,Somos unas personas que nos encanta viajar con estilo así como poder ofrecer eso mismo a nuestros huéspedes. ,a few days or more,5%,10%,f,https://a0.muscache.com/im/pictures/user/34ac1ce8-fbea-4bcc-83d8-ef9816a643a5.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/34ac1ce8-fbea-4bcc-83d8-ef9816a643a5.jpg?aki_policy=profile_x_medium,Condesa,15.0,37.0,"['email', 'phone']",t,t,,Cuauhtémoc,,19.41982,-99.1742,Entire rental unit,Entire home/apt,5,2.5,2.5 baths,2.0,3.0,"[""Wifi"", ""Free parking on premises"", ""Pets allowed"", ""Kitchen"", ""Washer"", ""TV""]","$1,991.00",3,365,3,3,365,365,3.0,365.0,,t,22,52,82,357,2025-03-20,4,0,0,279,0,0,0.0,2023-01-03,2023-06-01,3.75,4.25,4.25,4.25,3.75,4.75,4.0,,f,13,13,0,0,0.15
13400,758833761780564518,https://www.airbnb.com/rooms/758833761780564518,20250319150644,2025-03-19,city scrape,Hermosa suite doble con balcón,Lake Zirahuen is a modern urban condominium located in a strategic area of the city just a few minutes from the forest of Chapultepec and Angel de la Independencia,,https://a0.muscache.com/pictures/miso/Hosting-757986049491817640/original/7b453b89-4330-4e52-92f3-7f6bb5e11ea9.jpeg,425028857,https://www.airbnb.com/users/show/425028857,Homi,2021-09-28,,,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/d123f3f1-223f-4a8a-aede-acf8bf4e22af.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d123f3f1-223f-4a8a-aede-acf8bf4e22af.jpg?aki_policy=profile_x_medium,Anáhuac I Sección,380.0,394.0,"['email', 'phone']",t,t,,Miguel Hidalgo,,19.44697,-99.1722,Entire condo,Entire home/apt,4,1.0,1 bath,0.0,2.0,"[""Kitchenette"", ""Hangers"", ""Cooking basics"", ""Microwave"", ""Pets allowed"", ""Smart lock"", ""Mini fridge"", ""Extra pillows and blankets"", ""Self check-in"", ""Smoke alarm"", ""Wifi"", ""Clothing storage"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Hot water"", ""Patio or balcony"", ""Trash compactor"", ""Iron"", ""Room-darkening shades"", ""Dining table"", ""Free street parking"", ""Backyard"", ""Shampoo"", ""Shower gel"", ""Dedicated workspace"", ""Laundromat nearby"", ""Coffee maker"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Essentials"", ""Bed linens"", ""Portable fans"", ""Coffee"", ""Private entrance"", ""TV"", ""Single level home""]",$665.00,1,365,1,1,365,365,1.0,365.0,,t,6,32,58,330,2025-03-19,84,38,1,253,44,228,151620.0,2022-11-20,2025-03-17,4.69,4.81,4.73,4.89,4.9,4.68,4.68,,t,25,25,0,0,2.96
13600,777119501479287697,https://www.airbnb.com/rooms/777119501479287697,20250319150644,2025-03-20,city scrape,Espectacular casa en Tlalpan.,"This unique home has plenty of room to share  with friends or family. <br /><br />It is in a safe area in the center of Tlalpan. Close to the hospital area, Aztec Stadium, Six Flags, Xochimilco (Las Trajineras),Perisur, among other tourist places. <br /><br />It has public transportation very close.","It is in the center of Tlalpan, a tourist point. One block from the kiosk, restaurant area, bars, the church, and the typical Market. <br />A few steps from the Old hacienda of Tlalpan.<br />Close to Azteca Stadium. <br />A few steps from the hospital area. <br /><br />15 mins from Perisur, 15-20 mins to Six flags <br /><br />Xochimilco and the trajineras, 15-20 min.<br /><br />It's a safe area.",https://a0.muscache.com/pictures/1cafeb75-5fb6-4348-bc0b-9ae662207677.jpg,136997415,https://www.airbnb.com/users/show/136997415,Esmeralda,2017-06-25,"Mexico City, Mexico",,within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/94e9658f-2220-4bc6-9a3a-942df1cc828b.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/94e9658f-2220-4bc6-9a3a-942df1cc828b.jpg?aki_policy=profile_x_medium,Tlalcoligia,10.0,19.0,"['email', 'phone']",t,t,"Mexico City, Ciudad de México, Mexico",Tlalpan,,19.2881249,-99.1642322,Entire home,Entire home/apt,16,4.0,4 baths,6.0,14.0,"[""Hair dryer"", ""Hangers"", ""Clothing storage: closet and wardrobe"", ""Microwave"", ""Cooking basics"", ""Resort access"", ""Free parking on premises"", ""Pets allowed"", ""Extra pillows and blankets"", ""Courtyard view"", ""Host greets you"", ""Wifi"", ""Kitchen"", ""Outdoor furniture"", ""Shared patio or balcony"", ""Hammock"", ""Mosquito net"", ""Luggage dropoff allowed"", ""Hot water"", ""Children\u2019s books and toys for ages 0-2 years old and 2-5 years old"", ""Babysitter recommendations"", ""Books and reading material"", ""Iron"", ""Room-darkening shades"", ""Dove  shampoo"", ""Dining table"", ""Garden view"", ""Cleaning products"", ""Dove  conditioner"", ""Private backyard \u2013 Fully fenced"", ""Fire pit"", ""Shower gel"", ""Refrigerator"", ""Freezer"", ""Outdoor dining area"", ""Laundromat nearby"", ""Stainless steel gas stove"", ""Blender"", ""Coffee maker"", ""Long term stays allowed"", ""Children's playroom"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Essentials"", ""Bed linens"", ""Children\u2019s bikes"", ""Smoking allowed"", ""BBQ grill"", ""First aid kit"", ""Private entrance"", ""TV"", ""Dove  body soap""]","$2,846.00",2,90,2,2,1125,1125,2.0,1125.0,,t,17,41,62,64,2025-03-20,63,29,2,64,28,174,495204.0,2022-12-25,2025-03-03,4.6,4.65,4.54,4.75,4.75,4.83,4.71,,t,10,4,6,0,2.31
